,formatted_address,latitude,longitude,input_string,number_of_results,status,accuracy,google_place_id,type,postcode
711,"Masonboro, NC, USA",34.1428841,-77.8138553,"Masonboro Island, New Hanover County",1,OK,,,,
712,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
713,"Manhattan Beach, CA 90266, USA",33.8847361,-118.4109089,"Manhattan Beach, Los Angeles County",1,OK,,,,
714,"Coastal Dunes RV Park & Campground, 1001 Pacific Blvd, Oceano, CA 93445, USA",35.1124627,-120.6255283,"Oceano Dunes State Beach, San Luis Obispo County",1,OK,,,,
715,"Isle of Palms, SC, USA",32.8194131,-79.7343791,"Isle of Palms, Charleston County",1,OK,,,,
716,,,,20 miles from shore,0,ZERO_RESULTS,,,,
717,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
718,"13 The Strand, Port Elliot SA 5212, Australia",-35.5351935,138.6820501,"Middleton Point, Fleurieu Peninsula",1,OK,,,,
719,"13 The Strand, Port Elliot SA 5212, Australia",-35.5351935,138.6820501,"Middleton Point, Fleurieu Peninsula",1,OK,,,,
720,"Horizontal Falls, Kimbolton WA 6728, Australia",-16.3833959,123.9582444,Horizontal Falls,1,OK,,,,
721,"State of Pernambuco, Brazil",-8.8137173,-36.954107,500 km off the coast of Pernambuco,1,OK,,,,
722,"Cape Henlopen, Delaware 19958, USA",38.8031678,-75.09462549999999,"Cape Henlopen State Park, Sussex County",1,OK,,,,
723,"Parsons Beach, Waitpinga SA 5211, Australia",-35.6305742,138.4671696,"Parsons Beach,  Fleurieu Peninsula",1,OK,,,,
724,"Aichi, Japan",35.0182505,137.2923893,Aichi,1,OK,,,,
725,"W Beach, Galveston, TX 77554, USA",29.2000762,-94.94180829999999,"West Beach, Galveston",1,OK,,,,
726,"Fort Lauderdale, FL, USA",26.1224386,-80.13731740000001,Fort Lauderdale,1,OK,,,,
727,"Gerroa NSW 2534, Australia",-34.7699,150.813133,"Seven Mile Beach, Gerroa",1,OK,,,,
728,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
729,"Chevron Island, Surfers Paradise QLD 4217, Australia",-27.9973446,153.4198464,Nerang River near Chevron Island,1,OK,,,,
730,"Wallace Island, Leeds and the Thousand Islands, ON K0E 1V0, Canada",44.3547088,-75.99538559999999,Wallis Island,1,OK,,,,
731,"Irukandji Shark & Ray Encounters, 686 Marsh Rd, Bobs Farm NSW 2316, Australia",-32.7706261,151.9986267,The Australian Shark and Ray Centre,2,OK,,,,
732,"Juan Ponce de León Landing, 4005 Florida A1A, Melbourne Beach, FL 32951, USA",28.010895,-80.5302978,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",1,OK,,,,
733,"Eyre Peninsula, Cummins SA 5631, Australia",-34.3333333,135.75,"Elliston, Eyre Peninsula",1,OK,,,,
734,"Jacksonville Beach, FL, USA",30.2841224,-81.3961338,"Jacksonville Beach, Duval County",1,OK,,,,
735,"Tybee Island, GA 31328, USA",32.0002152,-80.845666,"Tybee Island, Chatham County",1,OK,,,,
736,"Indian River County, FL, USA",27.6947732,-80.54384499999999,"Bethel Shoals, Indian River County",1,OK,,,,
737,"Coligny Beach Park, 1N Forest Beach, Hilton Head Island, SC 29928, USA",32.1414846,-80.7510645,"Coligny Beach, Hilton Head, Beaufort County",1,OK,,,,
738,"Simon's Town, Cape Town, 7975, South Africa",-34.1937654,18.4356653,Simonstown,1,OK,,,,
739,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
740,"Coral Bay WA 6701, Australia",-23.1436708,113.7715359,"South Passage, south of Coral Bay",1,OK,,,,
741,"Cocoa Beach, FL 32931, USA",28.3200067,-80.6075513,"Cocoa Beach, Brevard  County",1,OK,,,,
742,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
743,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
744,"Port Alfred, South Africa",-33.5864065,26.8851448,Port Alfred,1,OK,,,,
745,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
746,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
747,"Tathra NSW 2550, Australia",-36.7360215,149.9674229,Tathra,1,OK,,,,
748,"Dawesville Channel, Dawesville WA 6211, Australia",-32.6070192,115.6397667,Off Dawesville Cut,1,OK,,,,
749,"Second Beach Rd, Port St Johns, South Africa",-31.6409371,29.5299196,"Second Beach, Port St Johns",2,OK,,,,
750,"Delray Beach, FL, USA",26.4614625,-80.0728201,Delray Beach,1,OK,,,,
751,"John D. MacArthur Beach State Park, 10900 Jack Nicklaus Dr, North Palm Beach, FL 33408, USA",26.824641,-80.04404,Macarthur State Park,1,OK,,,,
752,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
753,"90 Bells Beach Rd, Bells Beach VIC 3228, Australia",-38.3680831,144.2849552,Winkipop Beach,1,OK,,,,
754,"Lennox Head NSW 2478, Australia",-28.8,153.583333,Lennox Head,1,OK,,,,
755,"2611 Sheridan Rd, Central St, Evanston, IL 60201, USA",42.0638545,-87.67436390000002,Lighthouse Beach,1,OK,,,,
756,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
757,"55 NE MacArthur Blvd, Stuart, FL 34996, USA",27.2073806,-80.1710775,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",1,OK,,,,
758,"Huahine-Iti, French Polynesia",-16.7882653,-150.9889238,Huahine,1,OK,,,,
759,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
760,"Goldsmith Beach, Honiton SA 5576, Australia",-35.15153370000001,137.6854778,"Goldsmith Beach, Yorke Peninsula",1,OK,,,,
761,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
762,"101 Porpoise Bay Rd, Daytona Beach, FL 32119, USA",29.1643606,-81.05336779999999,Porpoise Bay,1,OK,,,,
763,"Umina, Umina Beach NSW 2257, Australia",-33.528746,151.307503,Umina Beach,1,OK,,,,
764,"6754 22nd Ave N, St. Petersburg, FL 33710, USA",27.7913895,-82.7324167,Garden Bay near Cosy Nook,1,OK,,,,
765,"Miyako-jima, Miyakojima, Okinawa, Japan",24.7673666,125.3246769,Off Miyako Island,1,OK,,,,
766,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
767,"Stewart Island / Rakiura, Southland 9818, New Zealand",-46.9972767,167.8372114,Stewart Island,2,OK,,,,
768,"Route de Lindéralique, New Caledonia",-20.6816368,164.9746487,"Lindéralique, Hienghène",1,OK,,,,
769,,,,Die Platt,0,ZERO_RESULTS,,,,
770,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
771,"Nīnole, HI 96773, USA",19.9388888,-155.1688889,"Ninole Bay, Hawaii County",1,OK,,,,
772,"Cocoa Beach, FL 32931, USA",28.3200067,-80.6075513,"Cocoa Beach, Brevard  County",1,OK,,,,
773,"Shelly Beach, Port Macquarie NSW 2444, Australia",-31.4540324,152.9314408,"Shelly Beach, near Port Macquarie",1,OK,,,,
774,,,,"Between  Makena & Molokini, Maui",0,ZERO_RESULTS,,,,
775,"Riecks Point, Sapphire Beach NSW 2450, Australia",-30.2379185,153.1521762,"Riecks Point,  Campbell’s Beach, ",1,OK,,,,
776,"South Kihei Road &, Kilohana Dr, Kihei, HI 96753, USA",20.7039072,-156.446314,"Keawekapu Beach, Kihei, Maui",1,OK,,,,
777,"Gracetown WA 6284, Australia",-33.8641558,114.9882251,Gracetown,1,OK,,,,
778,"Gleneden Beach, Lincoln Beach, OR 97388, USA",44.8814151,-124.034593,"Gleneden Beach, Lincoln County",1,OK,,,,
779,"Trigg Beach, Western Australia, Australia",-31.8779189,115.7517755,"Trigg Beach, Perth",1,OK,,,,
780,Cape Eleuthera,24.8166667,-76.35,Off Cape Eleuthera,1,OK,,,,
781,"Bay Head, NJ 08742, USA",40.0717828,-74.0543036,"Bay Head, Ocean County",1,OK,,,,
782,"Floridana Beach, FL 32951, USA",27.9456312,-80.497996,"Floridana Beach, Brevard County",1,OK,,,,
783,"Kanaha Beach Park, Amala Pl, Kahului, HI 96732, USA",20.8996987,-156.4405938,"Kanaha Beach, Maui",1,OK,,,,
784,"Turquoise Bay Rd, Roatán, Honduras",16.3967718,-86.40547509999999,Turquoise Bay,2,OK,,,,
785,,,,Ravine Mula,0,ZERO_RESULTS,,,,
786,"Little Island, Western Australia, Australia",-31.8123368,115.7091154,"Little Island, near Hillarys",1,OK,,,,
787,"Narrabeen Beach, New South Wales, Australia",-33.7095423,151.3033826,South Narrabeen Beach,1,OK,,,,
788,"Waihee-Waiehu, HI 96793, USA",20.9297229,-156.5045315,"Waiehu, Maui",1,OK,,,,
789,"4110 N Waiakalua Rd, Kilauea, HI 96754, USA",22.2116152,-159.3632023,"Pila'a Beach, Kaua'i",1,OK,,,,
790,"Miami Beach, FL, USA",25.790654,-80.1300455,Miami Beach,1,OK,,,,
791,"7 Flame Cres, Ferreira Town, Jeffreys Bay, 6330, South Africa",-34.032945,24.931328,"Albatros Point, near Jeffrey's Bay",1,OK,,,,
792,"Poison Creek Campsite, Cape Arid WA 6452, Australia",-33.9036415,123.3512705,"Off Poison Creek, Cape Arid",1,OK,,,,
793,"322 1st St, Eureka, CA 95501, USA",40.8047962,-124.168232,"Bunkers, Humboldt Bay, Eureka, Humboldt County",1,OK,,,,
794,"Destin, FL 32541, USA",30.3935337,-86.4957833,"Destin, Okaloosa County",1,OK,,,,
795,"Melbourne Beach, FL, USA",28.0683496,-80.56033029999999,"Melbourne Beach, Brevard County",1,OK,,,,
796,"Ashdod, Israel",31.804381,34.655314,Ashdod,1,OK,,,,
797,"Panama City, FL, USA",30.1588129,-85.6602058,"Panama City, Bay County",1,OK,,,,
798,"Ormond Beach, FL, USA",29.2858129,-81.0558894,"Ormond Beach, Volusia County",1,OK,,,,
799,"Carlin Park, 400 Florida A1A, Jupiter, FL 33477, USA",26.9291055,-80.0691932,"Carlin Park, Jupiter, Palm Beach County",1,OK,,,,
800,"41 Fort Pickens Rd, Pensacola Beach, FL 32561, USA",30.33104,-87.142584,"Casino Beach, Pensacola, Escambia County",1,OK,,,,
801,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach,  Volusia County",1,OK,,,,
802,"St Helena Island, South Carolina 29920, USA",32.3972009,-80.5549561,"St. Helena Island, Beaufort County",1,OK,,,,
803,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach,  Volusia County",1,OK,,,,
804,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach,  Volusia County",1,OK,,,,
805,"Ormond Beach, FL, USA",29.2858129,-81.0558894,"Ormond Beach, Volusia County",1,OK,,,,
806,"1 Whitehead St, Key West, FL 33040, USA",24.55907,-81.807332,Key West Aquarium,1,OK,,,,
807,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
808,"St Augustine Beach, FL 32080, USA",29.8439828,-81.2711546,"St Augustine Beach, St Johns County",1,OK,,,,
809,"Freetown, Sierra, Leone, Sierra Leone",8.474157,-13.2835071,Freetown Beach,1,OK,,,,
810,"Butterfly Beach, Montecito, CA 93108, USA",34.4176221,-119.6491956,"Butterfly Beach, Montecito, Santa Barbara County",1,OK,,,,
811,"Santa Catalina Island, California 90704, USA",33.3878856,-118.4163103,Catalina Channel,1,OK,,,,
812,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
813,"Winterhaven Park, 4589 S Atlantic Ave, Ponce Inlet, FL 32127, USA",29.1047098,-80.9415953,"Winterhaven Park,           Ponce Inlet, Volusia County",1,OK,,,,
814,"211 S Main St #5425, Hutchinson, KS 67501, USA",38.0491677,-97.93226360000001,Smiths,1,OK,,,,
815,"Isaac Hale Park, 13-101 Kalapana Kapoho Beach Rd, Pāhoa, HI 96778, USA",19.4576939,-154.8418399,Pohoiki ,3,OK,,,,
816,"1 Johnson Pier, Half Moon Bay, CA 94019, USA",37.50302180000001,-122.4822928,"Pillar Point, Half-Moon Bay, San Mateo County",1,OK,,,,
817,"Makena, Wailea-Makena, HI 96753, USA",20.6544444,-156.4425,"Makenat, Maui",1,OK,,,,
818,"Kahului, HI 96732, USA",20.8985743,-156.4473714,"Ka'a Point, Maui",1,OK,,,,
819,"Folly Beach, SC, USA",32.6551798,-79.94036729999999,Folly Beach,1,OK,,,,
820,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
821,"Sanibel Island, Florida, USA",26.4433972,-82.1115119,"Sanibel Island, Lee County",1,OK,,,,
822,"Ulua Beach, Wailea-Makena, HI 96753, USA",20.6903433,-156.4436167,"Ulua Beach, Maui",1,OK,,,,
823,"Isle of Palms, SC, USA",32.8194131,-79.7343791,"Isle of Palms, Charleston County",1,OK,,,,
824,"Scotland Cay, The Bahamas",26.6458099,-77.0751538,Scotland Cay,1,OK,,,,
825,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
826,"White Plains, Ewa Beach, HI 96706, USA",21.3035275,-158.0452282,"White Plains Beach, Oahu",1,OK,,,,
827,"Compass Cay, The Bahamas",24.2660998,-76.51702879999999,Compass Cay,1,OK,,,,
828,"Grand Cay, The Bahamas",27.2162615,-78.3230559,Grand Cay,1,OK,,,,
829,"Boa Viagem Beach, State of Pernambuco, Brazil",-8.11807,-34.8932392,"Boa Viagem Beach, Recife",1,OK,,,,
830,"Gulf Shores, AL, USA",30.2460361,-87.70081929999999,"Gulf Shores, Baldwin County",1,OK,,,,
831,"Butler Beach, FL 32080, USA",29.7983039,-81.2670131,"Butler Beach, St Augustine,       St. Johns County",1,OK,,,,
832,,,,Le cimetière marin,0,ZERO_RESULTS,,,,
833,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
834,"Holden Beach, NC 28462, USA",33.9135061,-78.3038892,Holden Beach. Brunswick County,1,OK,,,,
835,"Passeig Miranda, 1, 17130 L'Escala, Girona, Spain",42.1405745,3.1186298,"Sant Marti d’Empuries Beach, L’Escala",1,OK,,,,
836,"Flinders VIC 3929, Australia",-38.474,145.022,"Flinders, Mornington Penisula",1,OK,,,,
837,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
838,"Port Royal, Jamaica",17.9367669,-76.8411038,Port Royal,1,OK,,,,
839,"San Mateo, CA 94403, USA",37.53499420000001,-122.3050429,"Pacific State , San Mateo County",1,OK,,,,
840,"Jacksonville, FL, USA",30.3321838,-81.65565099999999,"Jacksonville, Duval County",1,OK,,,,
841,"Kiawah Island, SC, USA",32.6082373,-80.0848166,"Kiawah Island, Charleston County",1,OK,,,,
842,"Kaloko-Honokōhau National Historical Park, Kailua-Kona, HI 96740, USA",19.6787061,-156.0216995,Kona Coast State Park,1,OK,,,,
843,"Surfside Beach, TX, USA",28.9444142,-95.28882569999999,"Surfside Beach, Brazoria County",1,OK,,,,
844,"Queensberry Bay Leisure Park, Powfoot, Annan DG12 5PN, UK",54.974747,-3.348005,Queensberry Bay,2,OK,,,,
845,"Atlantic Beach, FL, USA",30.3344077,-81.398696,"Atlantic Beach, Duval County",1,OK,,,,
846,"Myrtle Beach, SC, USA",33.6890603,-78.8866943,"Myrtle Beach, Horry County",1,OK,,,,
847,"Snipe Point, Florida, USA",24.6981975,-81.6739784,"Off Snipe Point, Florida Keys, Monroe County",1,OK,,,,
848,"16400 Beach Blvd, Westminster, CA 92683, USA",33.725941,-117.9857404,Target Beach,1,OK,,,,
849,"Haleiwa, HI 96712, USA",21.5927614,-158.1034112,"Halewia, Oahu",1,OK,,,,
850,"Ormond Beach, FL, USA",29.2858129,-81.0558894,"Ormond Beach, Volusia County",1,OK,,,,
851,"Coral Cove, 700 S Beach Rd, Jupiter, FL 33469, USA",26.9577062,-80.07759890000001,Coral Cove Beach,2,OK,,,,
852,Gaza Strip,31.3546763,34.3088255,Gaza,1,OK,,,,
853,"57-091 Kamehameha Hwy, Kahuku, HI 96731, USA",21.7048116,-157.9983792,"Playa Brava, Turtle Bay",1,OK,,,,
854,"Tourmaline Surf Park, San Diego, CA 92109, USA",32.8051352,-117.2622363,"Tourmaline Surf Park, San Diego County",1,OK,,,,
855,,,,Brisant Beach,0,ZERO_RESULTS,,,,
856,"Melbourne Beach, FL, USA",28.0683496,-80.56033029999999,"Melbourne Beach, Brevard County",1,OK,,,,
857,"14700 Front Beach Rd, Panama City Beach, FL 32413, USA",30.2059934,-85.8592231,Emerald Beach,1,OK,,,,
858,"Cancún, Quintana Roo, Mexico",21.161908,-86.8515279,"Seagull Beach, Cancun",1,OK,,,,
859,"Crowdy Head NSW 2427, Australia",-31.8443241,152.7265099,Crowdy Head,1,OK,,,,
860,"Boynton Beach, FL, USA",26.5317866,-80.0905465,"Near Boynton Beach, Palm Beach County",1,OK,,,,
861,"False Bay, South Africa",-34.2433031,18.6650678,False Bay,1,OK,,,,
862,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
863,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
864,"White Sand Beach Resort, BP174, Rotoava 98763, French Polynesia",-16.0618726,-145.6174018,"North Pass, Fakarava",2,OK,,,,
865,"Jensen Beach, FL 34957, USA",27.2544906,-80.22976969999999,"Jensen Beach, Martin County ",1,OK,,,,
866,"Perth WA, Australia",-31.9505269,115.8604572,Perth,1,OK,,,,
867,"3445 Lower Honoapiilani Rd, Lahaina, HI 96761, USA",20.9492838,-156.689195,Ka’anapali Shores,1,OK,,,,
868,"Terrigal Beach, Wamberal NSW 2260, Australia",-33.436156,151.4440034,Terrigal Beach,2,OK,,,,
869,"Platte, Seychelles",-5.863654599999999,55.3848803,Ile Platte,1,OK,,,,
870,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
871,"1950 North Point Blvd, Tallahassee, FL 32308, USA",30.488176,-84.244327,Savannah Sound,1,OK,,,,
872,"375 E Park Ave, Durango, CO 81301, USA",37.2828565,-107.8746979,De Mond,1,OK,,,,
873,"175 Marine Dr, Hawston, 7202, South Africa",-34.39617690000001,19.1260623,Hawston Beach,2,OK,,,,
874,,,,Pillikin Red Light area ,0,ZERO_RESULTS,,,,
875,"5 Broadhead Ave, Geraldton WA 6530, Australia",-28.8024837,114.6185491,African Reef off Geraldton,1,OK,,,,
876,West York Island,11.0816676,115.0021124,Off Likas Island,1,OK,,,,
877,"Port St Johns, 5120, South Africa",-31.6287512,29.5368709,Port St. John's,1,OK,,,,
878,"Muriwai, New Zealand",-36.8362109,174.4340691,Muriwai,1,OK,,,,
879,"Kaanapali, HI 96761, USA",20.9331214,-156.6831418,"Ka'anapali, Honokowai, Maui",1,OK,,,,
880,"Paia Bay, Paia, HI 96779, USA",20.9173855,-156.3836273,"Paia Bay, Maui",1,OK,,,,
881,"Stuart, FL, USA",27.197548,-80.2528257,"""Stuart Rocks"", Martin County",1,OK,,,,
882,"Bora Bora, French Polynesia",-16.5004126,-151.7414904,"Tapu, a dive site on the outer reefs of Bora Bora",1,OK,,,,
883,Pedro Cays,17.0,-77.83333329999999,Pedro Cays,1,OK,,,,
884,"Cape Nelson Rd, Victoria 3305, Australia",-38.3847394,141.565049,Cape Nelson,1,OK,,,,
885,"Noosa, QLD, Australia",-26.3645433,152.9676695,Noosa,1,OK,,,,
886,"Bulcock Beach, Queensland 4551, Australia",-26.8069452,153.131696,Bullcock Beach,1,OK,,,,
887,"71-1890 Queen Ka'ahumanu Hwy, Kailua-Kona, HI 96740, USA",19.8563675,-155.9217446,Kiholo Bay,1,OK,,,,
888,"Mercury Islands, New Zealand",-36.5833333,175.9166667,Great Mercury Island,2,OK,,,,
889,"Legendre Island, Dampier Archipelago WA 6713, Australia",-20.3853568,116.8763104,Near Legendre Island,1,OK,,,,
890,"Jensen Beach, FL 34957, USA",27.2544906,-80.22976969999999,"Jensen Beach, Martin County ",1,OK,,,,
891,"Long Reef Beach, New South Wales, Australia",-33.7460834,151.3040716,Between Dee Why and Long Reef,2,OK,,,,
892,"Kylies Beach campground, Metcalfes Walk, Crowdy Bay National Park NSW 2443, Australia",-31.7353031,152.7916418,"Kylie's Beach, Diamond Head",1,OK,,,,
893,"Port St Johns, 5120, South Africa",-31.6287512,29.5368709,Port St. John's,1,OK,,,,
894,"Trigg Beach, Western Australia, Australia",-31.8779189,115.7517755,Trigg Beach,1,OK,,,,
895,"Kauai, Hawaii, USA",22.0964396,-159.5261238,Kauai,2,OK,,,,
896,"Green Island, NY, USA",42.7442449,-73.6915073,Green Island,1,OK,,,,
897,"Sunday Cove, 9691, New Zealand",-45.5946582,166.7438549,"Sunday Cove, Fiordland",1,OK,,,,
898,"Kihei, HI 96753, USA",20.7644275,-156.4450063,"Kihei, Maui",1,OK,,,,
899,"Mooloolaba QLD 4557, Australia",-26.682,153.118,Mooloolaba,1,OK,,,,
900,"2151 E Main St, Stockton, CA 95205, USA",37.9555336,-121.260417,Nuevo Altata,1,OK,,,,
901,"Melbourne Beach, FL, USA",28.0683496,-80.56033029999999,"Melbourne Beach, Brevard County",1,OK,,,,
902,"Makena Landing Park, 5083 Makena Rd, Kihei, HI 96753, USA",20.653797,-156.4410126,"Makena Landing, Maui",1,OK,,,,
903,"Davidsons Beach, Kekaha, HI 96752, USA",21.9641667,-159.7088889,"Davidson's Surf Break, Kekaha, Kaua'i",2,OK,,,,
904,"Humboldt Bay, California, USA",40.7195153,-124.242601,"Humboldt Bay, Eureka, Humboldt County",1,OK,,,,
905,"Makena Landing Park, 5083 Makena Rd, Kihei, HI 96753, USA",20.653797,-156.4410126,"Makena Landing, Maui",1,OK,,,,
906,"Surf Beach, California, USA",34.6831139,-120.6064278,"Surf Beach, Lompoc, Santa Barbara County",1,OK,,,,
907,"120 N Seaport Blvd, Cape Canaveral, FL 32920, USA",28.4008051,-80.5997757,"Seaport, Brevard County",1,OK,,,,
908,"Ponce Inlet, FL, USA",29.0963729,-80.9369983,"Ponce Inlet, Volusia County",1,OK,,,,
909,"Kanaha Beach Park, Amala Pl, Kahului, HI 96732, USA",20.8996987,-156.4405938,"Kanaha Beach, Maui",1,OK,,,,
910,"Hobe Sound, FL 33455, USA",27.059498,-80.1364323,Hobe Sound,1,OK,,,,
911,"4001 Rue Berri, Montréal, QC H2L 4H2, Canada",45.5214639,-73.57440079999999,Oboro,1,OK,,,,
912,"Davenport Landing Rd, California 95017, USA",37.02603089999999,-122.2159035,"Davenport Landing, Santa Cruz County",1,OK,,,,
913,"Mullaloo Beach, Western Australia, Australia",-31.7789355,115.7325558,"Mullaloo Beach, Perth",1,OK,,,,
914,"Melbourne Beach, FL, USA",28.0683496,-80.56033029999999,"Melbourne Beach, Brevard County",1,OK,,,,
915,"15 Sunflower St #33, Cocoa Beach, FL 32931, USA",28.3268896,-80.6080964,"Spanish House Beach, Brevard County",1,OK,,,,
916,"Cocoa Beach, FL 32931, USA",28.3200067,-80.6075513," Cocoa Beach, Brevard  County",1,OK,,,,
917,"Eueiki, Tonga",-18.7663543,-174.0187252,Eueiki Island,1,OK,,,,
918,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
919,"Lori Wilson Park, 1500 N Atlantic Ave, Cocoa Beach, FL 32931, USA",28.337143,-80.60951159999999,"Lori Wilson Park, Cocoa Beach, Brevard  County",1,OK,,,,
920,"South Beach, Miami Beach, FL 33139, USA",25.7826123,-80.1340772,"South Beach, Miami-Dade County",1,OK,,,,
921,"Neptune Beach, FL, USA",30.311908,-81.39647339999999,"Neptune Beach, Duval County",1,OK,,,,
922,"St Augustine Beach, FL 32080, USA",29.8439828,-81.2711546,"St. Augustine Beach, St. John's County",1,OK,,,,
923,"Melbourne Beach, FL, USA",28.0683496,-80.56033029999999,"Melbourne Beach, Brevard County",1,OK,,,,
924,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
925,"Spreckelsville, HI 96779, USA",20.9107182,-156.4051911,"Spreckelsville, Maui",1,OK,,,,
926,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
927,"Islay, Isle of Islay, UK",55.7362535,-6.177067,Off the Isle of Islay,1,OK,,,,
928,"Red Bluff, Western Australia, Australia",-24.05,113.4,Red Bluff near Quobba Station,1,OK,,,,
929,"Av. Três - Lot. Enseada dos Corais, Cabo de Santo Agostinho - PE, Brazil",-8.312611300000002,-34.9470699,"Coral Cove, Cabo de Santo Agostinho",2,OK,,,,
930,"Gulf Shores, AL, USA",30.2460361,-87.70081929999999,"Gulf Shores, Baldwin County",1,OK,,,,
931,"Ocean Reef Club, 201 Ocean Reef Dr, Key Largo, FL 33037, USA",25.3157875,-80.2797525,Ocean Reef,1,OK,,,,
932,"Key Largo, FL 33037, USA",25.0865151,-80.4472802,Key Largo,1,OK,,,,
933,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
934,"Kaukura Atoll, French Polynesia",-15.7413788,-146.6738329,Kaukura Atoll,1,OK,,,,
935,"Topanga, CA, USA",34.0919452,-118.6021321,"Topanga Beach, Los Angeles County",1,OK,,,,
936,"Streaky Bay SA 5680, Australia",-32.797222,134.211111,Streaky Bay,1,OK,,,,
937,"Gillins Beach, Hawaii 96756, USA",21.8924999,-159.4169444,"Maha‘ulepu Beach, Kauai",1,OK,,,,
938,"Ballston Beach, Truro, MA 02657, USA",42.00065910000001,-70.020301,"Ballston Beach, Truro, Cape Cod",2,OK,,,,
939,"Ocean Isle Beach, NC, USA",33.8943393,-78.426672,"Ocean Isle, Brunswick County",1,OK,,,,
940,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
941,"Radix, Trinidad and Tobago",10.2590973,-61.0180269,"Off Radix Village, Mayoro County",1,OK,,,,
942,"Tofino, BC, Canada",49.1529842,-125.9066184,"Tofino, Vancouver",1,OK,,,,
943,"Wedge Island, Western Australia, Australia",-30.8277891,115.1879896,Off Wedge Island,1,OK,,,,
944,"North Topsail Beach, NC, USA",34.4901665,-77.43163,"North Topsail Beach, Onslow County",1,OK,,,,
945,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
946,"Point Lonsdale VIC 3225, Australia",-38.28333300000001,144.6,Ship's Graveyard off Point Lonsdale,1,OK,,,,
947,"Pleasure Point, CA, USA",36.9635135,-121.9648975,"Pleasure Point, Santa Cruz County",1,OK,,,,
948,"Groot-Jongensfontein, South Africa",-34.4243738,21.3386579,"Sandstrand, Jongensfontein",1,OK,,,,
949,"Bakar, Croatia",45.3068046,14.5342464,Buccari Bay,1,OK,,,,
950,"Juno Beach, FL 33408, USA",26.8797819,-80.0533743,"Juno Beach, Palm Beach County",1,OK,,,,
951,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
952,"Kahana Beach, Napili-Honokowai, HI 96761, USA",20.9766667,-156.6825,"Kahana Beach, Maui",1,OK,,,,
